"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",48696232
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",52509539
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",46891265
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",51415993
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",23097948
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",92547597
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",27170168
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",31598691
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",41285253
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",32237594
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",71543110
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",80719731
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",19422778
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",23170757
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",82009962
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",71087045
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",11524512
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",66614258
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",45830309
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",48474448
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",33098832
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",59639466
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",91229869
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",17916738
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",49137402
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Sagar Indie] ",62394536
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",66491243
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",74230512
